,city,class,mfcc,chroma
20,pittsburg 1,negative,"[-3.65815695e+02  7.64620919e+01 -4.44639773e+01 -1.11120387e+01
  6.04703267e+00 -1.02922744e+01 -2.65372825e+00  5.25401898e+00
  2.46611674e+00  3.72571940e+00  3.88855328e+00  1.16867434e+00
  3.98827387e+00  8.92924759e+00  4.95877569e+00  3.49478654e+00
  6.49991597e+00  3.52733960e+00  4.72226879e-01  3.94191477e+00
  6.88179966e+00  1.62886781e+00 -2.34199931e+00 -4.75846189e-01
 -1.13159598e+00  2.79201338e-01  6.66214972e-01 -1.55211622e+00
  1.59920527e+00 -9.83066908e-01 -6.50041817e+00 -3.01382620e+00
 -2.35673394e-01 -4.84072652e-01 -1.56007703e+00 -2.05023324e+00
 -4.91631309e-01 -3.71638731e+00 -4.67485364e+00  1.03804415e+00]","[0.64401608 0.53866541 0.53340297 0.57580727 0.56297175 0.57009793
 0.66033574 0.57557975 0.53754023 0.54750441 0.60620991 0.88323189]"
21,pittsburg 1,negative,"[-2.99063768e+02  8.67170703e+01 -8.03325377e+01 -1.67348361e+01
  1.12535726e+00 -2.65548426e+01 -7.56789567e+00 -3.53233520e+00
 -7.22957447e+00  1.21927983e+00  3.60306776e-01 -3.06140808e-01
  3.63426348e+00  7.85177112e+00  6.70383088e+00  3.34125575e+00
  6.57401744e+00  7.48567988e+00  3.10922299e+00  5.20739684e+00
  8.75804579e+00  4.89079380e+00  2.37069463e+00  3.19511949e+00
  2.90447690e+00  4.82069008e+00  3.81510478e+00  1.80950849e+00
  4.40815045e+00  2.08333361e+00 -2.01946254e+00  2.28794711e-01
  1.81397722e+00  1.31929094e+00  5.61893469e-02 -9.11373022e-01
  2.34378430e-01 -1.43419507e+00 -3.15136239e+00  8.90555486e-01]","[0.80020723 0.59067837 0.5989425  0.62118607 0.64110215 0.63363574
 0.68683455 0.66249675 0.59128414 0.5891431  0.63101504 0.81728676]"
22,pittsburg 1,negative,"[-3.19579050e+02  8.27455373e+01 -7.60505703e+01 -1.64112725e+01
  2.14693526e+00 -2.20181274e+01 -4.43440288e+00  4.42235065e-02
 -3.10667569e+00  3.64148371e+00  2.16144053e+00  1.15542300e+00
  3.88089882e+00  8.22962087e+00  8.12017485e+00  5.05249118e+00
  6.24205667e+00  6.39290465e+00  4.06666892e+00  6.21312323e+00
  8.78283955e+00  5.17126298e+00  2.62465852e+00  3.78229604e+00
  2.94433163e+00  4.32136374e+00  4.36411376e+00  2.26704622e+00
  4.66308751e+00  2.66842945e+00 -2.06069446e+00  9.64351689e-02
  2.23975753e+00  1.65298865e+00  5.06061065e-01 -1.28590885e-01
  9.08056656e-02 -2.34190367e+00 -2.92468268e+00  6.09782472e-01]","[0.82417499 0.59681714 0.59306672 0.62021453 0.63275147 0.61479582
 0.67403154 0.71013985 0.608125   0.58999897 0.60578581 0.72920498]"
23,pittsburg 1,negative,"[-4.17292838e+02  4.09790762e+01 -2.26533279e+01 -2.13113759e+00
  3.64768150e+00 -4.79598439e+00  4.56438003e+00  6.52523707e+00
  4.01769439e+00  5.33950891e+00  3.14849550e+00  1.39658992e+00
  4.62437012e+00  7.87136740e+00  5.76952465e+00  4.17868404e+00
  4.31970421e+00  1.70244387e+00  1.40694012e+00  6.21002654e+00
  7.88927683e+00  3.69711551e+00  1.32163771e+00  1.26297156e+00
  7.17457111e-02  2.45105438e+00  4.53238830e+00  2.95002864e+00
  4.08630862e+00  1.98092584e+00 -2.96669247e+00 -8.34989163e-01
  2.66690235e+00  2.70385653e+00  2.03402642e+00  1.54140121e+00
  5.88486658e-01 -2.20621671e+00 -1.47273344e+00  2.79016277e+00]","[0.67231311 0.57037115 0.52886412 0.57429811 0.54851965 0.58137975
 0.74657234 0.57840962 0.47267082 0.47955151 0.55130339 0.93413771]"
24,pittsburg 1,negative,"[-4.51050338e+02  6.25234698e+01 -1.93227858e+01 -1.75930511e-01
  8.36007775e+00 -2.00258265e+00  4.36216431e+00  9.34530217e+00
  9.43699237e+00  7.17968169e+00  3.08302907e+00  2.29862836e-01
  2.72640329e+00  6.68402508e+00  4.56023669e+00  3.91390039e+00
  3.27593160e+00 -1.43133450e+00 -1.31840971e+00  6.20020117e+00
  9.58573011e+00  7.03456535e-02 -3.59961769e+00  8.33410228e-01
 -2.65630266e+00  5.81957526e-01  4.41260983e+00  8.77704554e-02
  4.33220116e+00  1.59665650e+00 -7.25387396e+00 -2.47244770e+00
  1.84266897e+00  1.91521152e+00  1.24234527e+00 -3.41108394e-01
  3.34571440e-01 -3.61028689e+00 -3.46553876e+00  3.53473559e+00]","[0.82458869 0.56892315 0.52539398 0.5573088  0.54493415 0.54204892
 0.70351928 0.63494578 0.49539351 0.49485851 0.55348701 0.9294179 ]"
25,pittsburg 1,negative,"[-244.97272899  108.19256751  -59.87817742  -17.0247753    17.37707569
  -15.46602894  -12.20616261    3.64936214   -5.54113169   -3.03320455
    2.54885148   -6.21747368   -7.70969895   -1.65922913   -7.0527709
  -12.12985836   -7.38077635   -5.79430205   -9.90422756   -9.94656205
   -5.77943531   -5.72220187   -7.9053081    -5.45924817   -0.76674848
    1.77974631    2.0320351     3.4855205     6.81123941    7.18610277
    5.29411075    6.15679683    9.64240128   10.03407481    6.4163876
    5.0880386     6.36961846    5.07338085    3.04934368    3.67388045]","[0.52014168 0.40056038 0.43734062 0.48128395 0.49970674 0.47616978
 0.51766938 0.52496659 0.57319924 0.76440804 0.68409196 0.60284502]"
26,pittsburg 1,negative,"[-3.21056182e+02  7.64515874e+01 -3.93709258e+01 -7.58493456e+00
  1.18257084e+01 -8.54669202e+00 -3.38633836e+00  6.30019576e+00
 -6.32989412e-01  2.93066926e-01  1.53074228e+00 -3.14441361e+00
 -1.33260254e+00  1.96348233e+00 -3.35745406e+00 -5.55952635e+00
 -2.36464657e+00 -3.85701649e+00 -6.30108331e+00 -3.40042669e+00
 -7.53804495e-01 -2.39264959e+00 -4.16059291e+00 -3.26802241e+00
 -9.31043131e-01  1.83470512e+00  2.79004223e+00  3.84497277e+00
  6.51400717e+00  5.13855105e+00  1.95616231e+00  3.77348493e+00
  7.26013525e+00  6.85197635e+00  4.50004710e+00  4.75695634e+00
  5.28407545e+00  2.24623819e+00  8.04055252e-01  3.20885941e+00]","[0.67224958 0.48118471 0.45948783 0.49434231 0.49064708 0.48304846
 0.58879087 0.54639212 0.5022055  0.59589997 0.5753598  0.75954141]"
27,pittsburg 1,negative,"[-3.98364679e+02  5.08314345e+01 -2.06240081e+01 -2.13909594e+00
  7.12881635e+00 -1.78432719e+00  2.66322620e+00  6.75577020e+00
  4.49236842e+00  3.98351379e+00  1.97876496e+00 -6.45288348e-03
  1.98178664e+00  4.64171944e+00  1.72907517e+00  6.37720028e-02
  1.99626516e+00 -5.15913985e-01 -2.58594375e+00  2.55081645e+00
  5.27002559e+00  3.52099370e-01 -1.93176890e+00 -1.26172668e-01
 -2.33906790e-01  1.70186427e+00  3.10336973e+00  2.61078371e+00
  5.40999893e+00  3.28580410e+00 -1.86357318e+00  1.08774610e+00
  5.13355571e+00  4.55664112e+00  2.87714961e+00  2.92459335e+00
  3.28417092e+00 -3.82236813e-01 -1.24959237e+00  3.52878879e+00]","[0.78605197 0.54266733 0.50416352 0.53975043 0.5425426  0.5356998
 0.70632174 0.64495798 0.49210354 0.50214111 0.53353082 0.89467195]"
28,pittsburg 1,negative,"[-4.77713906e+02  2.58632285e+01  2.45544176e+00  5.63614759e+00
  5.17780835e+00  4.52226416e+00  7.32976621e+00  9.49621242e+00
  1.09105709e+01  7.08117262e+00  2.88376032e+00  1.85302372e+00
  4.16023671e+00  5.99612650e+00  3.46781465e+00  4.28033713e+00
  4.63076478e+00 -6.26442071e-01 -8.22556628e-01  6.06830629e+00
  8.66847559e+00  1.53020298e+00 -1.39976301e+00  1.73029480e+00
 -1.39895898e-01  1.87398917e+00  4.32983120e+00  2.36708556e+00
  5.96943267e+00  2.39012827e+00 -4.81121315e+00 -6.58535204e-03
  3.57659042e+00  3.03383898e+00  2.58937780e+00  1.96280711e+00
  2.42986955e+00 -2.04598888e+00 -2.32770657e+00  4.21888076e+00]","[0.59984922 0.51210219 0.46156947 0.53193732 0.48274307 0.53887144
 0.72208062 0.5009286  0.3977478  0.41286595 0.5408505  0.98767305]"
29,pittsburg 1,negative,"[-4.76853263e+02  5.73922096e+01 -1.85375152e+01  4.09270215e+00
  4.61169097e+00 -2.69559781e+00  5.32520393e+00  7.71861270e+00
  1.17004939e+01  9.16125546e+00  4.35918735e+00  1.84371625e+00
  2.48430176e+00  6.03044818e+00  4.86148457e+00  7.30062619e+00
  5.70814497e+00 -2.68463174e+00 -4.83599300e-01  9.20545915e+00
  1.12716781e+01  3.69740007e-01 -1.75550155e+00  4.25355699e+00
 -9.82571138e-01  2.20822548e+00  6.43582373e+00  1.62969551e+00
  6.46536957e+00  3.09669723e+00 -5.03498200e+00 -3.07336117e-01
  2.49496443e+00  3.46772919e+00  2.17874879e+00  8.83699810e-01
  2.40174690e+00 -3.24459086e+00 -2.29678654e+00  4.55738956e+00]","[0.74820435 0.62857634 0.56879367 0.61442233 0.5947094  0.6088788
 0.76647268 0.62776017 0.50784123 0.50174195 0.57600428 0.9568704 ]"
